Fax,Mobile,Comp_Type,Landing_Url,Comp_Name,Phone,Products,Contact_Url,Address,Contact_Name,Email,About_Comp
 ,982-010-3489,cotton fabricmanufacturer,https://www.textileinfomedia.com/company-info/Navbharat-Industries-20170206115445,Navbharat Industries, ,"Manufacturing of Cotton Fabric,Bleaching Service,Dyeing & Printing For Cotton Fabric,Processing Unit,Textile Processing Service",," A - 156 MIDC., Phase I,Dombivali (E), Thane", MR. ANKIT JALAN ,mailto:,"Nav Bharat Industries - Undertake Proccessing Activities Of Bleaching, Dyeing & Printing For Cotton Fabric."
 ,989-890-3083,designer sareesmanufacturer,https://www.textileinfomedia.com/company-info/Bhakti-creation-20170211154358,Bhakti creation, 9327749749,"ladies saree manufacturer,lehengha choli trader,60 gram fabric ,naylon fabric ,fancy fabric ",," 2001-02-03 Universal market , Opp - Millenium market ,Ring road Suart ", Manoj patel(owner),mailto:,"we are trading ofladies saree and lehengha choliand than fabricmanufacturer of 60 gram fabric, naylon fabric etc.we are del in minimum qty. 120above"
 ,987-999-1235,shirtingmanufacturer,https://www.textileinfomedia.com/company-info/Bapa-Sitaram-Weaving-Pvt-Ltd,Bapa Sitaram Weaving Pvt Ltd, ,"grey fabric manufacturer,cotton grey fabrics supplier,Polyester grey Fabrics wholesaler,Suiting Fabrics Wholesaler,shirting fabric dealer",," 441-444, om textile park, kadodra, Surat Gujarat, India.", ajay kukdiya (proprietor),mailto:ajayweaving19@gmail.com,"we are manufacturer, supplier andwholesaler of grey fabrics like cotton fabrics, polyester fabrics, suiting fabrics and shirting fabrics, garments and many more. "
 ,999-815-5815,chartered accountantsservices,https://www.textileinfomedia.com/company-info/SP-Corporation,SP Corporation, ,"VAT Consultants,Home Lone services,Legal Document services,Accounting Management services,Tax Consultants services",," 429 Apple Square,Yogi Chowk,Surat,Gujarat,India", Piyush Bhuva (Partner),mailto:,"We SP Corporation service provide of tax and lone consultants home lone,morages lone,legal documents,accouting management,tax consultants,vat consultants,import and export,service tex consultants,in Surat,Gujarat,India "
 ,982-514-3955,georgette grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Dhami-Textile,Dhami Textile, 91-261-2554875,"manufacturer of Gery Textile Fabrics,60 Gram Chiffon Grey Fabric Dealer,Plain Grey Fabric manufacturers,supplier of Chiffon Grey Fabric,Grey Fabric Weavers Cloth",," No. 11-12, Bhajiwala Industrial Estate, Ankur Chokdi Near Sardar Chowk, Varachha Road, Surat, Gujarat, India", Vinubhai Dhami (Proprietor),mailto:,"We are Dhami Textile Manufacturer and supplier textile fabrics & grey fabrics,chiffon grey fabric, since 1990 in Surat, Gujarat,India"
 ,992-543-8035,cotton yarnmanufacturer,https://www.textileinfomedia.com/company-info/Siyaram-Polytex-Pvt-Ltd,Siyaram Polytex Pvt Ltd, 0261-3013309,"Manufacture of yarn,Manufacture of grey fabric,Manufacture of jute yarn,Manufacture of cotton yarn,Manufacture of germen yarn",," 123, Ground Floor, World Trade Centre,Near Udhna Darwaja, Ring Road, Surat.", Siyaram Polytex Pvt Ltd ,mailto:,Siyaram Polytex Pvt Ltd is leading manufacture of all type yarn and grey fabric.
 ,992-575-3071,georgette grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Murlidhar-Textiles,Murlidhar Textiles, ,"grey cloth fabrics manufacturer,weightless fabrics supplier,pashmina fabrics exporter,cotton grey cloth trader",," 69/70,Laxman Nagar Ind Est Laskana Surat Gujarat India", Vishal (owner),mailto:,"Murlidhar Textiles are weightless fabrics,grey cloth fabrics,cotton grey cloth ,pashmina fabrics etc."
 ,989-801-8607,nylon grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Farmsons-Fashions-P-LTD-,Farmsons Fashions P LTD , 0261-3013224,"Manufacture of dani grey fabric,Manufacture of nylon grey fabric,Manufacture of cotton grey fabric,Manufacture of pashmina grey fabric,Manufacture of orient grey fabric ",," 3003, World Trade Centre, Near Udhana Darwaja, Ring Road,Surat.", Farmsons Fashions (P) LTD. ,mailto:,Farmsons Fashions (P) LTD. is leading Manufacture of All type grey fabric
 ,992-520-0831,cotton fabricmanufacturer,https://www.textileinfomedia.com/company-info/Ramdhan-Omkar-Commercial-Corporation,Ramdhan Omkar Commercial Corporation, ,"Printed Cotton Fabric by Manufacturer,Grey Fabric by the importer,Non Woven Fabric Exporter",," OFFICE NO-107/A/122, ASHIRVAD INDUSTRIAL PARK, NEAR PANDESARA GIDC, BHESTAN, Surat, Gujarat, India", Vijay Ramdhan (Director),mailto:,"We are a Manufacturer and Supplier of Supplier and manufacturer of grey fabric, Printed Cotton Fabric..."
 ,987-912-7000,fancy fabricmanufacturer,https://www.textileinfomedia.com/company-info/Shri-Navratna-Textile,Shri Navratna Textile, 0261-2517777,"Manufacture of jersy fabric,Manufacture of scarf fabric,Manufacture of hosiery fabric,Manufacture of corduroy,Manufacture of canvas fabric",," 23-24-15-Hari Om Dying Compound Opposite Gurukrupa Subsation, Ved Road, SURAT.", Shri Navratna Textile ,mailto:,Manufacture of All type fabric and grey fabric.
 ,972-750-7702,georgette grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Ratanba-Textile,Ratanba Textile, ,"grey cloth fabrics manufacturer,weightless fabrics supplier,pashmina fabrics exporter",," 367,Anjani Ind Est-3 Sayan Surat Gujarat India", Mr. (owner),mailto:,"Ratanba Textile are grey cloth fabrics,pashmina fabrics, weightless fabrics,etc."
 ,981-010-8931,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Sunil-K-Khanna-and-Co,Sunil K Khanna and Co, +91-11-41608766,"Business Consultants services ,Income Tax services ,Corporate Advisory services ,Service Tax services ,Legal Drafting services ",," No. 606, Chiranjiv Tower, No. 43, Nehru Place New Delhi , Delhi, India", Ca. Sumeet Khanna (Proprietor),mailto:,"Sunil K Khanna & Co.,� are one of the oldest legal and accountancy consultancy firms in the country. With Head Office at Nehru Place, New Delhi, our practice area is spread over National Capital Region that besides Delhi includes parts of Uttar Pradesh, Haryana, Himachal Pradesh, Noida, Gurgaon Faridabad and Gaziabad. The consultancy services offered by us includes Setting up Business in India, Legal Drafting & Regulatory Approvals, Tax Consultancy, Accounting & Secretarial Support, Audit & Assurance Services, Management Consulting Services. Further, we also offer consultancy in areas of Software Technology park, Societies, Trust, Special Economic Zone parks and Backward Areas."
 ,984-102-3401,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Principal-Retirement-Advisors-Pvt-Ltd,Principal Retirement Advisors Pvt Ltd, 91-44-66616904,"Finance Services ,Business Development Services ,Financial Accounting Services ,Fund Management Services ,Financial Reporting Services ",," NIRUPAMA & NEELIMA BUILDING, NEW UNIT NO.55, VIJAYA RAGHAVA ROAD, T. NAGAR, Chennai - , Tamil Nadu, India", Mr. P. Raja (Proprietor),mailto:,"we are Service provider of mutual funds, equity funds, elss funds, balanced funds, hybrid funds, debt funds, liquid funds of funds"
 ,934-122-7353,designer sareessupplier,https://www.textileinfomedia.com/company-info/MRIG-COLLECTION,MRIG COLLECTION, ,"Designer Saree supplier,cotton saree wholesaler ,fancy kurti supplier,cotton kurti wholesaler ",," E22054 , SHOBHA ALTHEA NAGENAHALLI , OPP DODDABALAPURA ROAD, YALAHANKKA, Bengaluru, Karnataka, India", Ms. Rini Deb (Proprietor),mailto:,"we are Distributor and supplier of cotton saree, silk saree, cotton kurtis."
 ,982-541-8101,nylon grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Yashveer-Creation,Yashveer Creation, ,"nylon grey fabrics,dani grey fabrics,cotton grey fabrics,weightless grey fabrics,orient grey fabrics",," 177/178,Uma Ind.Soc.Bhatar,Althan,Surat,Gujarat,India", Yashveer Creation (Proprietor),mailto:,We aremanufacturer ofall types of grey fabrics.
 ,982-511-2145,nylon grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Shivam-Synthetics,Shivam Synthetics, ,"Manufacture of cotton grey fabric ,Manufacture of pashmina grey fabric,Manufacture of orient grey fabric,Manufacture of nylon grey fabric,Manufacture of weightless grey fabric",," 4014, Trade House, Ring Road, Surat.", Shivam Synthetics ,mailto:,Manufacture of all type Grey fabrics.
 ,261-234-0155,nylon grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Shree-Veena-Enterprises,Shree Veena Enterprises, 2612340155,"Manufacture of cotton grey fabric,Manufacture of Georgette grey fabric,Manufacture of nylon grey fabric,Manufacture of weightless grey fabric,Manufacture of orient grey fabric",," B619, Elbee Appt, Ring Road, Surat.", Shree Veena Enterprises ,mailto:,We are leading Manufacture of grey fabric
 ,800-082-0079,printed dupattamanufacturer,https://www.textileinfomedia.com/company-info/Shri-krishna-Textiles,Shri krishna Textiles, ,"Nazneen Dupatta Supplier,fanc yDupatta Manufacturer,PolyesterDupatta. Supplier,Designer Dupatta wholesaler,Shri krishna Textiles- Surat",," 737-738, Lower Ground,Shubham Market(Hari Om-4) In Front OF JJAC Market, Ring Road, Surat , Gujarat, India", Rohit Lalwani (Owner),mailto:,"We �Shri Krishna Textiles� are a Sole Proprietorship firm affianced in manufacturing an attractive range of Nazneen Dupatta, Fancy Dupatta, Polyester Dupatta and Designer Dupatta."
 ,937-711-1366,fancy fabricmanufacturer,https://www.textileinfomedia.com/company-info/Vivek-Fab,Vivek Fab, +(91)-(261)-4004111,"grey fabrics manufacturer,Lilen grey fabrics Supplier,cotton fabrics Dealer,fancy dupatta Trader,Viscose Fabric Distributor",," No. 4004, A Block, 4th Floor, Sai Khati Textile House, Opposite Harihar Textile House, Ring RoadSurat, Gujarat, India", Vikas Bagaria (proprietor),mailto:,"We Vivek Fab is a sole proprietorship firm, engaged in manufacturing and supplying a wide range of Export quality of Dyed and Printed Fabric. Our range includes Polyester cotton Printed Fabric,Poly Georgette Fabric , Polyester Crepe Fabric , Polyester Chiffon Fabric ,Polyester Satin Fabric,Rayon Printed Fabric ,Viscose Fabric , Polyester Dobby Fabric , Polyester Jacquard Printed Fabric , Cotton Printed Fabric, Modal Fabric ,Rayon Shawls, Chiffon Fabric used for Fashion accessories like Scarves, Stoles , Shawls ,Bandanas, Beach wear like Pareos and Sarongs and also used for Garments. These fabrics are designed and spun using excellent quality yarns and fibers in our state-of-the-art production unit. Our professionals use ultra-modern machines and cutting-edge technology to design these fabrics. These fabrics are available in various designs, patterns and colors as per the diverse requirements of our precious clients. Further, these fabrics are highly appreciated by our clients for features like fine finish, smooth texture, softness, colorfastness, shrink resistance and skin-friendliness. We offer our products under the brand name of Vivek Fab."
 ,920-966-1950,nylon grey fabricsupplier,https://www.textileinfomedia.com/company-info/Agarwal-Polycot,Agarwal Polycot, ,"Wholesaler of nylon grey fabric,cotton grey fabric retailer,marble grey fabric supplier,satin grey fabric supplier,Wholesaler of All Type of grey fabric",," Flat No- 301,3rd Floor,B Wing,Shiv Shrursti Residency,Aadarsh Park, Bhiwandi, India.", Shri Bhagwan Agarwal (Owner),mailto:agarwaltipsa@gmail.com,"Agarwal Polycot leading Wholesaler, Supplier and Retailer Of PC Grey Fabric, Cotton Grey Fabric, Satin Grey Fabric , Synthetic Grey Fabric, Indonesia(Indo) Grey Fabric,96*64 Grey Fabric and All Type Of Grey Fabric etc...."
 ,990-997-6702,nylon dupattamanufacturer,https://www.textileinfomedia.com/company-info/Madhav-Tex,Madhav Tex, ,"Manufacturer of Nazneen Dupatta Nylon Dupatta,Trader of Nazneen Duppata Aka Nylon Duppata Butter,Nazneen Duppata Aka Nylon Duppata Grey Distributor,Wholesaler of Nazneen Duppata Aka Nylon Duppata,Nylon Dupatta Manufacturer",," No. 104, Hirrapanna Market, Ring Road, Surat, Gujarat, India", Satyanaran Bhattad (Proprietor),mailto:,"Leading Manufacturer of Nazneen Dupatta Aka Nylon Duppata, Nazneen Duppata Aka Nylon Duppata (38 Grams), Nazneen Duppata Aka Nylon Duppata Butter, Nazneen Duppata Aka Nylon Duppata Grey, and Nazneen Dupatta Nylon Dupatta from Surat."
 ,909-996-4642,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Vaar-And-Associates,Vaar And Associates, ,"charted accounts,Business Consultants,Project Consultants,Loan Consultants,Vaar and associates",," 308, Ajanta Shopping Center, Near Kinnary Cinema, Ring Road, Surat, Gujarat, India.", Vithal Agarwal ,mailto:vaaradvisors@gmail.com,"We Are Give Service In CA, Business Consultants, Pan Card Consultants, Company Registration Consultants, Project Consultants, Loan Consultants, Service Tax Consultants, Lawyers For Income Tax, Sales Tax Registration Consultants, Professional Tax Consultants, Auditors, Machinery Loan Consultants, Property Tax Consultants, Accounting Services, VAT Consultants, Accountants Consultants And All Types Of Taxes And Legal Adviser."
 ,983-002-5092,chartered accountantsservices,https://www.textileinfomedia.com/company-info/S-M-Gupta-and-Co,S M Gupta and Co, ,"Advisory services,Auditing Services,Startup Services,Income Tax Forms and Pudblications,Foreign Funds",," 1, Balaram Dey Street, Kolkata � 700 006", S. M. GUPTA (proprietor),"http://www.smgupta.co.in,mailto:smgupta@lnsel.com","Businesses and organisations of present times have so much to offer. Some businesses are absolutely about profit-making while others offer services for a certain purpose. However, both the types must follow the rules set by the state where they are operating. This is important for carrying out convenient business dealings. But, most businesses tend to neglect the finance and marketing part and concentrate more on promotions, documentations, and manufacturing. If you are the owner of such a business, consider consulting S.M.GUPTA & Co. We are income tax consultants assisting clients in tax preparation and other relevant financial issues.Conceived and established in the year 1975, S.M.GUPTA & Co. is an audit cum consultancy firm. We are home to a diligent team of chartered accountants, service tax consultants, corporate financial advisors, and auditor in Kolkata. We are popular amongst clients for the accurate and on-time information we deliver."
 ,982-094-4581,chartered accountantsservices,https://www.textileinfomedia.com/company-info/India-Placement,India Placement, ,"Chartered Accountant,Engineers Placement Services,Project Management,Financial Accounting,Placement Services",,"Shop No. 146, 2nd Floor, Raghuleela Mega Mall, Behind Poisar Bus Depot, Kandivali (West), Mumbai, Maharashtra , India", Mr. Suresh Agarwal (Proprietor),mailto:,"India Placement is a flourishing placement firm established in 1996. We professionally cater to manpower requirements in various sectors across entire Western, Central and Harbor line of Mumbai. We churn out the real talent and place them to the positions and companies they are suitable for.We are vigilant placement consultancy aiming to fulfill individuals' employment needs. We will guide your path in your journey to achieve the glorious destination- perfect job."
 ,983-109-2982,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Esjay-Consultants-Private-Limited,Esjay Consultants Private Limited, ,"Accounting Consultant,Tax Consultant,Business Loan,Letter of Credit Service,Cash Credit Limit",," No. 24, R. N. Mukharjee Road, 3rd Floor, Kolkata, West Bengal, India", Jayanto(Computer Executive),mailto:,Esjay Consultants Priavate Limited Established in the year 1976 the company become at once busy with various assignments as Industrial and management Consultants. Activities proliferated before long in terms of :- a) variety of services b) type of ...
 ,989-802-1572,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Pawan-Siddharth-Co,Pawan Siddharth Co, 0261-2329891,"Chartered Accountants,Chartered Accountants Services",," 301-302, Sarvodaya Textile Market, Ring Road, Surat, Gujarat, India", Virendra Singhal (Owner),"http://vsinghalca@yahoo.com,mailto:",We are services of Chartered Accountants
 ,989-861-3792,gota fabricmanufacturer,https://www.textileinfomedia.com/company-info/Bharodiya-Fabrics-Pvt-Ltd,Bharodiya Fabrics Pvt Ltd, ,"Grey Fabrics ,Weavers In Surat ,pashmina Fabrics Manufacture",," P/689, New GIDC Katargam, Surat", Rajnikant Bharodiya (Owner),mailto:, We are manufacture of Grey Fabrics. We have large Production capacity and we make different type of good quality grey fabrics.
 ,981-117-7840,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Sharma-H-Lal-and-Co,Sharma H Lal and Co, 91-11-22025065,"Accounting Services ,Auditing and Assurance Services ,Indirect Tax Services ,Financial Services ,Company Law Consultancy services",," PLOT NO 302, KALE RAM CHAMBER 2, EAST GURU ANGAD NAGAR, ADJOINING DISTRICT CENTRE, LAXMI NAGAR, Delhi India", Mr. Hira Lal Sharma (owner),mailto:,"we are Service provider of income tax services, accounting services, auditing & assurance services, business process outsource (bpo), financial services, ..."
 ,988-160-7646,chartered accountantsservices,https://www.textileinfomedia.com/company-info/B-D-Ugile-Company,B D Ugile Company, 91-20-27126494,"Preparation & Filing of Excise Return,VAT Related Services,Loan Against Property Services,Periodical Accounting Services & Consulting,Computerized Accounting Services",," Flat No. 8, A Wing, Vishal Residency, Kasarwadi, Pune, Maharashtra, India", Bharat Ugile(Manager),mailto:,"We are engaged in providing services like Computerised Accounting, Income Tax, MVAT, CST, Service Tax, Excise, TDS etc Returns, IEC, SSI, ISO Certification Services, PAN, TAN, Shop Act, Society, Trust Reg, Food License, Loan."
, 9328560515,pashmina-grey-fabric,https://www.textileinfomedia.com/Exim-Guru-Consultancy-Pvt-Ltd, Exim Guru Consultancy Pvt Ltd, 9328560515," All Types of Subsidy and Loan, Import-Export Consultancy, Machinery Loan, IEC Registration, Project Consultant",," 301, Ratandeep, Above 24 Carat, Nr.Trividh Chambers, Opp.Fire Station, Ring Road, Surat, Gujarat, India",, info@eximguruconsultancy.com,"We are do SSI Registration, IEC Registration, RCMC Registration, EPCG Schemes, Bank Guarantee, Machine Loan, Govt.Subsidy, SAD refund, Import-Export Consultancy. ...."
 ,942-778-2603,60 gram fabricsmanufacturer,https://www.textileinfomedia.com/company-info/Sumati-Textile,Sumati Textile, ,"Victoria Silk Grey Manufacturers,Magic Patta Fabric Manufacturers,Fancy Fabrics Weaving Unit,Designer Fabrics Looms company,60 gram chiffon grey supplier",," A-8, Patel Industrial, Bamba Wadi,Katargam,Surat, Gujarat, India", Jigar jain ,mailto:jigar.jain94@yahoo.com,"We are grey fabrics manufacturers of victoria silk, magic patta, 60 gram chiffon, We provide qualitfied, Heavy & Rich fabric..We make greyoriginal fabric..We make grey fancy fabric..We create our own designs fabrics"
 91-80-41480452,984-506-8263,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Total-Strategic-Solutions-India-Pvt-Ltd,Total Strategic Solutions India Pvt Ltd, 91-80-25203730,"Accounting Services ,Payroll Services,Logistics Services,Taxation And Statutories Services,Project Finance Services",," NO. 43, KODIHALLI LAYOUT, NEAR NAL COMPOUND, LEELA PALACE, ANNEXE ROAD, Bengaluru, Karnataka, India", Subramani(CEO),mailto:,"We are Service provider of international freight forwarding, over dimensional - inward, outward, value added services, accounts, internet audit, system ..."
, 9328560515,pashmina-grey-fabric,https://www.textileinfomedia.com/Exim-Guru-Consultancy-Pvt-Ltd, Exim Guru Consultancy Pvt Ltd, 9328560515," All Types of Subsidy and Loan, Import-Export Consultancy, Machinery Loan, IEC Registration, Project Consultant",," 301, Ratandeep, Above 24 Carat, Nr.Trividh Chambers, Opp.Fire Station, Ring Road, Surat, Gujarat, India",, info@eximguruconsultancy.com,"We are do SSI Registration, IEC Registration, RCMC Registration, EPCG Schemes, Bank Guarantee, Machine Loan, Govt.Subsidy, SAD refund, Import-Export Consultancy. ...."
 ,978-900-6935,chartered accountantsservices,https://www.textileinfomedia.com/company-info/Prime-Consultancy,Prime Consultancy, +91 44-39974398,"Chartered Accountant,Loan Consultants,Project Consultants,auditor,sale tax Consultants",," No 7/5 Lggs Colony, 25th Cross Street Near 7th Avenue, Ashok Nagar, Near Boom Car Decors, Chennai.", Mr. (proprietor),mailto:pratheej@primeconsult.in,We are Accounting and Auditing Consultants in chennai. and we are alsoCompany Registration ConsultantsTin Registration ConsultantsProject ConsultantsLoan ConsultantsISO Certification ConsultantsFood Safety License ConsultantsFssai Registration ConsultantsLicence ConsultantsE Filing ServicesIec Code Registration Consultants 
 ,981-022-5372,cotton yarnsupplier,https://www.textileinfomedia.com/company-info/Wooltex-International,Wooltex International, +91-11-26682875,"Polyester Fiber Supplier,Supplier of Wastes Fiber,Exporter of Nylon Fiber,Acrylic Fiber Importer,Wholesaler of Viscose Fiber",," A- 150, Shivalik, Malviya Nagar, New Delhi, New Delhi, Delhi, India", Inderjit Khurana (CEO),mailto:,"We are Supplier of Polyester Fiber, Wastes Fiber, Nylon Staple Fiber, Acrylic Fiber, Viscose Fiber, Yarns, Merino Wools, Nylon Fiber, Wastes Fiber, Merino Wool...."
, 8511860515,pashmina-grey-fabric,https://www.textileinfomedia.com/Pankaj-Maheshwari-Co, Pankaj Maheshwari Co, 8511860515," Chartered Accountant, Project Consultant, Tax Consultant, Auditor, Subsidy Advisor",," 301-Ratandeep, Opp.Fire Brigade, Maan Darwaja, Ring Road, Surat",, capankajmaheshwari@gmail.com,Chartered Accountant ....
 ,984-519-8525,chartered accountantsservices,https://www.textileinfomedia.com/company-info/GMG-ASSOCIATES,GMG ASSOCIATES, 91-80-25525044,"Accounts Process Outsourcing Services ,Project Consulting Services ,Auditing Services ,Business Formation Consultancy Services ,Service Tax Consultancy Services ",," DOOR NO. 457, 17TH G MAIN, 6TH BLOCK, KORAMANGLA, OPP BMTC DEEPO, Bengaluru - Karnataka, India", Mr. GEORGE MATHEW (Proprietor),mailto:,"we are Service provider of consultant, auditing, accounting services"
 ,887-280-0008,fancy lacemanufacturer,https://www.textileinfomedia.com/company-info/Paramount-Syntex-Private-Limited,Paramount Syntex Private Limited, ,"Tow And Waste manufacturer,Bamboo Fibers supplier,Silk Fibers wholesaler,Polyester Fibers retailer,Cotton Lace exporter",," B-XXX-3804, Street No. 6, Hargobindpura, Opposite Transport Nagar, Ludhiana, Punjab, India", Kunal Arora(Director),mailto:,"Paramount Group Was established in 1984 with a very clear vision to be a key player in Textiles. As a strategy to have complete knowledge and experience with a sole motive to give best of the customer service , the organization grew step by step . ..."
